"entity_ID","LGM_ice","mean_consensus_full_class_1","mean_consensus_full_class_10","mean_consensus_full_class_11","mean_consensus_full_class_12","mean_consensus_full_class_2","mean_consensus_full_class_3","mean_consensus_full_class_4","mean_consensus_full_class_5","mean_consensus_full_class_6","mean_consensus_full_class_7","mean_consensus_full_class_8","mean_consensus_full_class_9","n_consensus_full_class_1","n_consensus_full_class_10","n_consensus_full_class_11","n_consensus_full_class_12","n_consensus_full_class_2","n_consensus_full_class_3","n_consensus_full_class_4","n_consensus_full_class_5","n_consensus_full_class_6","n_consensus_full_class_7","n_consensus_full_class_8","n_consensus_full_class_9"
170,0,0,0,0,100,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
171,0,4.07434,0,26.2838,1.26043,23.24763,4.36878,6.02182,11.37179,6.81283,4.78353,0.37318,0.07588,12967,12967,12967,12967,12967,12967,12967,12967,12967,12967,12967,12967
172,0,1.47635,0,1.15677,2.38999,25.30913,8.34543,5.63311,4.02035,2.77393,9.82838,0.68867,0,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818
173,0,5.47887,0,18.33803,7.05634,0,0,1.47183,29.21831,8.07746,1.66197,0.62676,0.37324,142,142,142,142,142,142,142,142,142,142,142,142
174,0,0,0,0,100,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6
175,0,3.83333,1.83333,4.16667,88.5,0,0,0,0,0,0,1.66667,0,6,6,6,6,6,6,6,6,6,6,6,6
176,0,6.16776,0.01307,11.90632,4.44227,4.99129,1.40305,7.20479,22.46841,10.47712,8.74946,0.64706,0,459,459,459,459,459,459,459,459,459,459,459,459
177,0,0,0,2.5,73.1,0,0,1.8,1.1,14,7.5,0,0,10,10,10,10,10,10,10,10,10,10,10,10
178,0,0,0,0,100,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8
179,0,0,0,2.16667,79.33333,0,0,1.5,0,6.5,2,8.5,0,6,6,6,6,6,6,6,6,6,6,6,6
180,0,4.03215,0.00888,5.65144,1.84222,27.45051,6.85618,9.09602,7.6819,5.29907,13.23689,0.75381,1.51607,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364
181,0,0.46154,0,0.96154,86.03846,0,0,0,0,0.38462,7.11538,5.03846,0,26,26,26,26,26,26,26,26,26,26,26,26
182,0,0,0,0,100,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
183,0,2.46886,0,5.9483,3.604,21.13278,5.52761,7.88954,8.92244,7.46651,13.08696,0.76028,0,851,851,851,851,851,851,851,851,851,851,851,851
184,0,0,0,2.4,83,0,0,5.8,0,0,0,9,0,5,5,5,5,5,5,5,5,5,5,5,5
185,0,0,0,0,100,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
186,0,3.50988,0.02372,7.26087,11.54545,0,0.09091,12.41502,20.60474,6.6996,13.79447,0.96838,0,253,253,253,253,253,253,253,253,253,253,253,253
187,0,2.03007,0,0.62029,2.74261,30.24873,9.62895,5.26504,4.43527,2.00968,10.90826,0.72528,18.53517,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962
188,0,0,0,0,100,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
189,102387.113207,0.81996,14.98878,31.10554,2.60348,0.00111,0.01591,6.44427,8.41315,33.29613,0.12096,2.19757,0.04149,280220,280220,280220,280220,280220,280220,280220,280220,280220,280220,280220,280220
190,0,0,0,0,100,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
191,0,0,0,0.36905,45.07143,0,0.25,9.59524,7.59524,16.92857,14.03571,0.75,0,84,84,84,84,84,84,84,84,84,84,84,84
192,0,0,0,0,86.6875,0,0,1.125,0.625,2.8125,5.6875,3.0625,0,16,16,16,16,16,16,16,16,16,16,16,16
193,0,0,0,0,97.33333,0,0,2.66667,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3
194,0,0,0,0,100,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
195,0,0,0,0,100,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
196,0,0,0,0,100,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
